,c_Pnome_jogador,c_Unome_jogador,n_camisa,d_data_nascimento,c_posicao,c_nome_time
1079,David,Duarte,29.0,1994-01-24,Zagueiro,Fluminense
1080,Lucas,Crispim,10.0,1994-06-19,Meio-Campo,Fortaleza
1081,Felipe,Jonatan,3.0,1998-02-15,Zagueiro,Santos
1082,Marcos,Almeida,9.0,1998-03-15,Atacante,Santos
1083,Marcos,Guilherme,95.0,1995-08-05,Atacante,Sao Paulo
1084,Paolo,Guerrero,99.0,1984-01-01,Atacante,Avai
1085,Willian,Klaus,4.0,1994-01-11,Zagueiro,Atletico-Go
1086,Ricardinho,Viana,20.0,1996-09-22,Atacante,Atletico-Go
1087,Paulo,Ribeiro,3.0,1997-07-03,Zagueiro,Cuiaba
1088,Camilo,Reijers,7.0,1996-12-04,Meio-Campo,Cuiaba
1089,Raul,Bicalho,34.0,2000-06-03,Zagueiro,Corinthians
1090,Robson,Fernandes,7.0,1991-05-30,Atacante,Fortaleza
1091,Caio,Paulista,70.0,1998-05-11,Zagueiro,Fluminense
1092,Jo,,77.0,1987-03-20,Atacante,Ceara
1093,Joao,Riedi,1.0,1993-01-15,Goleiro,Ceara
1094,Renato,Junior,19.0,2002-06-05,Meio-Campo,Goias
1095,Marquinhos,,10.0,1994-05-08,Meio-Campo,Goias
1096,Robson,Signorini,20.0,1992-06-08,Meio-Campo,Coritiba
1097,Raniele,,14.0,1996-12-31,Meio-Campo,Avai
1098,Bruno,Cortes,33.0,1998-07-05,Zagueiro,Avai
1099,Gledson,Santos,83.0,2000-03-30,Goleiro,Avai
1100,Vitor,Santos,11.0,1996-02-25,Meio-Campo,Athletico-Pr
1101,Matheus,Galdezani,92.0,1992-03-13,Meio-Campo,Avai
1102,Rafael,Vaz,4.0,1988-09-17,Zagueiro,Avai
1103,Jean,Pyerre,21.0,1998-05-07,Meio-Campo,Avai
1104,Bruno,Pacheco,6.0,1991-12-08,Zagueiro,Ceara
1105,Valdivia,,7.0,1993-12-27,Atacante,Cuiaba
1106,Daniel,,1.0,1994-05-06,Goleiro,Internacional
1107,Victor,Cantillo,24.0,1993-10-15,Meio-Campo,Corinthians
1108,Jhon,Vasquez,20.0,1995-02-12,Atacante,Ceara
1109,Pedrinho,,29.0,1998-04-13,Atacante,America-Mg
1110,Anderson,,98.0,1998-03-05,Goleiro,Athletico-Pr
1111,Wesley,Silva,11.0,1997-06-01,Meio-Campo,Palmeiras
1112,Kevin,Silva,13.0,1998-04-08,Zagueiro,Avai
1113,Ygor,Nogueira,44.0,1994-02-13,Zagueiro,Juventude
1114,Fernando,Kaufmann,16.0,1996-04-24,Goleiro,Fortaleza
1115,Reinaldo,Silva,6.0,1984-05-25,Zagueiro,Sao Paulo
1116,Nicolas,Hernandez,2.0,1998-01-18,Zagueiro,Athletico-Pr
1117,Marcelo,Lomba,42.0,1986-12-18,Goleiro,Palmeiras
1118,Michel,Araujo,11.0,1996-09-28,Meio-Campo,Fluminense
1119,Rodrigo,Freitas,32.0,1998-06-17,Zagueiro,Avai
1120,Egidio,,6.0,1986-06-16,Meio-Campo,Coritiba
1121,Hayner,,2.0,1995-10-02,Zagueiro,Atletico-Go
1122,Nikao,,10.0,1992-07-29,Atacante,Sao Paulo
1123,Messias,Junior,3.0,1997-06-11,Zagueiro,Ceara
1124,Michel,Machado,88.0,1991-10-06,Zagueiro,Ceara
1125,Daniel,Guedes,13.0,1994-04-02,Zagueiro,Cuiaba
1126,Valdemir,Soares,97.0,1999-04-10,Meio-Campo,Coritiba
1127,Willian,Siqueira,17.0,1996-11-12,Atacante,Fluminense
1128,Marrony,,16.0,1999-02-05,Atacante,Fluminense
1129,Luan,Patrick,34.0,2002-01-20,Zagueiro,America-Mg
1130,Hugo,Souza,45.0,1999-01-31,Goleiro,Flamengo
1131,Matheus,Souza,2.0,2001-01-01,Zagueiro,Coritiba
1132,Vitor,Leque,99.0,2001-01-19,Atacante,Juventude
1133,Gabriel,Pirani,7.0,2002-04-12,Meio-Campo,Cuiaba
1134,Yuri,Lima,50.0,1994-03-02,Meio-Campo,Juventude
1135,Hernan,Perez,30.0,1989-02-25,Atacante,Coritiba
1136,Maicon,Roque,33.0,1988-09-14,Zagueiro,Santos
1137,Braian,Romero,9.0,1991-06-15,Atacante,Internacional
1138,Ronald,,14.0,1997-06-18,Meio-Campo,Fortaleza
1139,Rafael,Gava,11.0,1993-05-20,Meio-Campo,Cuiaba
1140,Muriqui,,11.0,1986-06-16,Atacante,Avai
1141,Joao,Peglow,11.0,1997-03-16,Meio-Campo,Atletico-Go
1142,Arthur,,25.0,2003-12-17,Zagueiro,America-Mg
1143,Luccas,Claro,4.0,1992-03-07,Zagueiro,Fluminense
1144,Matheus,Vargas,20.0,1996-06-18,Meio-Campo,Fortaleza
1145,Joao,Lucas,2.0,1998-03-09,Zagueiro,Cuiaba
1146,Felipe,Alves,1.0,1988-05-21,Goleiro,Sao Paulo
1147,Leo,Cittadini,18.0,1994-02-27,Meio-Campo,Athletico-Pr
1148,Marlon,Freitas,8.0,1995-03-27,Meio-Campo,Atletico-Go
1149,Edson,Cruz,4.0,1994-10-02,Zagueiro,Atletico-Go
1150,Jenison,Brito,18.0,1993-03-10,Atacante,Cuiaba
1151,Matheus,Sales,36.0,1995-05-13,Meio-Campo,Goias
1152,Raul,Caceres,27.0,1991-09-18,Zagueiro,America-Mg
1153,Rafael,Ramos,2.0,1995-01-09,Zagueiro,Corinthians
1154,Heitor,Fonseca,2.0,1994-04-25,Zagueiro,Internacional
1155,Moises,Barbosa,20.0,1998-02-13,Zagueiro,Internacional
1156,Thiago,Couto,40.0,1999-03-26,Goleiro,Sao Paulo
1157,Isidro,Pitta,80.0,1999-08-14,Atacante,Juventude
1158,Ricardo,Bueno,9.0,1987-08-15,Atacante,Juventude
1159,Bruno,Praxedes,25.0,1997-03-22,Meio-Campo,Bragantino
1160,Mariano,Filho,25.0,1993-12-14,Zagueiro,Atletico-Mg
1161,Douglas,Teixeira,36.0,1992-09-21,Zagueiro,Botafogo-Rj
1162,Lucas,Mezenga,40.0,1996-12-17,Zagueiro,Botafogo-Rj
1163,Diego,Barbosa,4.0,1992-04-16,Zagueiro,Sao Paulo
1164,Giovane,,42.0,2003-11-24,Atacante,Corinthians
1165,Leo,Baptistao,92.0,1999-05-28,Meio-Campo,Santos
1166,Kaique,Rocha,3.0,2001-02-28,Zagueiro,Internacional
1167,German,Conti,4.0,1994-06-03,Zagueiro,America-Mg
1168,Iury,Castilho,99.0,1995-09-06,Meio-Campo,Ceara
1169,Vinicius,Lopes,70.0,1999-07-28,Atacante,Botafogo-Rj
1170,Nathan,,45.0,2001-09-05,Zagueiro,Coritiba
1171,Ramon,Roma,3.0,1994-08-01,Zagueiro,Atletico-Go
1172,Matheus,Cadorini,18.0,2002-09-01,Atacante,Internacional
1173,Junior,Moraes,18.0,1987-04-04,Atacante,Corinthians
1174,William,Matheus,6.0,1990-04-02,Zagueiro,Juventude
1175,Reynaldo,Moraes,29.0,1996-07-14,Zagueiro,Goias
1176,Joel,Carli,3.0,1986-10-19,Zagueiro,Botafogo-Rj
1177,Gustavo,Santana,8.0,1996-03-06,Meio-Campo,Fluminense
1178,Chay,,14.0,1990-09-29,Atacante,Botafogo-Rj
1179,Arthur,Chaves,31.0,2001-01-29,Zagueiro,Avai
1180,Marcelo,Boeck,1.0,1984-11-28,Goleiro,Fortaleza
1181,David,,33.0,1995-10-17,Atacante,Fortaleza
1182,Vitor,Ricardo,40.0,2000-04-14,Zagueiro,Fortaleza
1183,Rwan,Cruz,12.0,1992-04-28,Atacante,Santos
1184,Matheus,Fernandes,6.0,1998-06-30,Meio-Campo,Athletico-Pr
1185,Guilherme,Biro,18.0,2004-04-20,Zagueiro,Coritiba
1186,Igor,Paixao,98.0,1991-08-03,Meio-Campo,Coritiba
1187,Caio,Rocha,47.0,1996-08-08,Atacante,Internacional
1188,Da,Silva,3.0,2001-02-07,Zagueiro,Goias
1189,Pedro,Junqueira,17.0,1994-07-27,Atacante,Goias
1190,Pablo,Siles,25.0,1997-07-15,Meio-Campo,Athletico-Pr
1191,Neilton,Mestzk,70.0,1994-05-20,Atacante,Coritiba
1192,Rafael,Pinheiro,21.0,1995-06-11,Goleiro,Coritiba
1193,Matheus,Babi,19.0,1994-02-22,Atacante,Athletico-Pr
1194,Bruno,Oliveira,40.0,1998-02-01,Meio-Campo,Santos
1195,Ricardo,Goulart,10.0,1991-06-05,Atacante,Santos
1196,Arthur,Henrique,16.0,1994-05-17,Zagueiro,Atletico-Go
1197,Carlos,Filho,38.0,1996-08-20,Atacante,America-Mg
1198,Andre,Souza,9.0,1994-10-18,Atacante,Cuiaba
1199,Vitinho,,11.0,1999-04-01,Atacante,Flamengo
1200,Calebe,,27.0,2000-04-30,Meio-Campo,Atletico-Mg
1201,Auro,,27.0,1996-01-23,Zagueiro,Santos
1202,Paulinho,Moccelin,94.0,1994-03-16,Atacante,Juventude
1203,Erison,Souza,89.0,2000-04-29,Atacante,Botafogo-Rj
1204,Fabio,Freitas,35.0,1993-11-28,Meio-Campo,Palmeiras
1205,Sidnei,,12.0,2000-06-15,Zagueiro,Goias
1206,Elvis,Araujo,10.0,1995-04-01,Atacante,Goias
1207,Igor,Gomes,26.0,1999-03-17,Meio-Campo,Sao Paulo
1208,Edenilson,Santos,8.0,1997-05-11,Meio-Campo,Internacional
1209,Lazaro,Vinicius,13.0,1997-04-29,Meio-Campo,Flamengo
1210,Willian,Arao,5.0,1993-11-30,Meio-Campo,Flamengo
1211,Diego,Matos,6.0,1997-01-08,Zagueiro,Avai
1212,Romulo,Zwarg,32.0,1999-08-30,Meio-Campo,Juventude
1213,Rodrigo,Lindoso,19.0,1989-06-06,Meio-Campo,Ceara
1214,Joao,Heidemann,1.0,1998-04-05,Goleiro,Cuiaba
1215,Bruno,Mendez,22.0,1999-09-10,Zagueiro,Internacional
1216,Anthony,Landazuri,3.0,1997-04-19,Zagueiro,Fortaleza
1217,Xavier,,39.0,2000-03-02,Meio-Campo,Corinthians
1218,Jhojan,Julio,8.0,1998-02-11,Atacante,Santos
1219,Bernardo,Lemes,25.0,2000-05-08,Meio-Campo,Coritiba
1220,Igor,Torres,77.0,2000-03-11,Atacante,Fortaleza
1221,Felipe,,15.0,1984-02-22,Meio-Campo,Fortaleza
1222,Douglas,Friedrich,1.0,1999-04-28,Goleiro,Avai
1223,Rodinei,Almeida,22.0,1998-02-06,Zagueiro,Flamengo
1224,Andreas,Pereira,18.0,1990-10-11,Meio-Campo,Flamengo
1225,Gustavo,Gravino,18.0,1997-07-23,Meio-Campo,America-Mg
1226,Felipe,Marques,11.0,1990-01-27,Meio-Campo,Cuiaba
1227,Alesson,,7.0,1999-02-16,Meio-Campo,Cuiaba
1228,Cristhian,Rivas,5.0,1997-07-20,Meio-Campo,Cuiaba
1229,Alex,Santana,23.0,1995-05-13,Goleiro,Coritiba
1230,Clayton,,99.0,1995-10-23,Atacante,Coritiba
1231,Lucas,Ribeiro,14.0,1999-01-19,Meio-Campo,Ceara
1232,Dentinho,,97.0,1989-01-19,Atacante,Avai
1233,Jonathan,Copete,10.0,1988-01-23,Atacante,Avai
1234,Joao,Marcelino,33.0,1996-01-12,Zagueiro,Corinthians
1235,Wesley,Moraes,9.0,1990-12-13,Atacante,Internacional
1236,Diego,Goncalves,11.0,1994-09-22,Meio-Campo,Botafogo-Rj
1237,Rodrigo,Dourado,13.0,2000-02-21,Meio-Campo,Internacional
1238,Jo,,77.0,1987-03-20,Atacante,Corinthians
1239,Marcos,Paulo,47.0,1994-09-27,Zagueiro,Flamengo
1240,Nathan,Camargo,48.0,2005-07-25,Meio-Campo,Bragantino
1241,Eduardo,Sasha,18.0,1992-02-24,Atacante,Atletico-Mg
1242,Renan,Silva,19.0,1995-05-26,Zagueiro,Bragantino
1243,Jean,Cleber,16.0,1990-04-29,Meio-Campo,Avai
1244,Darlan,Mendes,8.0,1998-04-16,Meio-Campo,Juventude
1245,Oscar,Ruiz,11.0,1991-05-14,Atacante,Juventude
1246,Everton,Silva,11.0,1988-08-04,Meio-Campo,Cuiaba
1247,Bruno,Melo,27.0,1992-10-26,Zagueiro,Corinthians
1248,Joao,Caetano,4.0,1993-08-24,Zagueiro,Goias
1249,Henrique,Lordelo,55.0,2000-06-16,Meio-Campo,Goias
1250,Luis,Oyama,55.0,1996-09-26,Meio-Campo,Botafogo-Rj
1251,Willian,,10.0,1986-11-19,Atacante,Corinthians
1252,Marlon,,25.0,1994-02-13,Meio-Campo,Juventude
1253,Matheus,Cardoso,94.0,1994-03-14,Goleiro,Goias
1254,Jailson,,42.0,1995-09-07,Goleiro,America-Mg
1255,Luan,Paiva,33.0,1999-08-04,Meio-Campo,Goias
1256,Morato,,53.0,1994-10-28,Atacante,Avai
1257,Elton,Brandao,19.0,1997-04-14,Atacante,Cuiaba
1258,Fred,,9.0,1994-05-28,Atacante,Fluminense
1259,Lucas,Calegari,31.0,1997-10-04,Meio-Campo,Fluminense
1260,Luis,Orejuela,24.0,1995-08-20,Zagueiro,Athletico-Pr
1261,Lucas,Halter,33.0,2000-05-02,Zagueiro,Athletico-Pr
1262,Hyoran,,10.0,1993-05-25,Meio-Campo,Bragantino
1263,Diego,Loureiro,12.0,1993-11-25,Goleiro,Botafogo-Rj
1264,Dudu,,2.0,1992-01-07,Zagueiro,Atletico-Go
1265,Rickson,,17.0,1998-03-04,Meio-Campo,Atletico-Go
1266,Gabriel,Boschilia,21.0,1996-09-04,Meio-Campo,Internacional
1267,Matheus,Jussa,8.0,1993-03-12,Zagueiro,Fortaleza
1268,Andres,D'Alessandro,10.0,1992-08-17,Atacante,Internacional
1269,Miguel,Silveira,30.0,2003-03-26,Meio-Campo,Bragantino
1270,Rafael,Forster,12.0,1990-07-23,Zagueiro,Juventude
1271,Joao,Santos,2.0,1993-05-01,Zagueiro,Corinthians
1272,Luiz,Filipe,30.0,2002-10-07,Meio-Campo,Goias
1273,Jorge,Moraes,6.0,1990-11-23,Zagueiro,Palmeiras
1274,Dylan,Borrero,30.0,1993-05-29,Meio-Campo,Atletico-Mg
1275,Douglas,Costa,10.0,1998-07-21,Meio-Campo,Gremio
1276,Thiago,Santos,5.0,1989-09-05,Meio-Campo,Gremio
1277,Guilherme,Santos,33.0,1988-02-05,Zagueiro,Juventude
1278,Carlos,Palacios,16.0,2000-07-20,Meio-Campo,Internacional
1279,Yuri,Alberto,11.0,2001-03-18,Atacante,Internacional
1280,Fabricio,Bruno,14.0,1996-02-12,Zagueiro,Bragantino
1281,Renzo,Saravia,26.0,1993-06-16,Meio-Campo,Internacional
1282,Victor,Cuesta,15.0,1988-11-19,Zagueiro,Internacional
1283,Ze,Ricardo,5.0,1996-03-09,Meio-Campo,America-Mg
1284,Ignacio,Oliveira,21.0,1996-10-25,Zagueiro,Chapecoense
1285,Abel,Hernandez,32.0,1997-08-07,Atacante,Fluminense
1286,Ronei,Gebing,15.0,1991-04-09,Meio-Campo,Chapecoense
1287,Gabriel,Silva,49.0,2002-07-03,Atacante,Palmeiras
1288,Vitor,Hugo,57.0,2001-07-27,Atacante,Palmeiras
1289,Robert,Motta,26.0,1993-03-26,Meio-Campo,Flamengo
1290,Oliveira,,3.0,1981-10-17,Zagueiro,Atletico-Go
1291,German,Conti,5.0,1994-06-03,Zagueiro,Bahia
1292,Osvaldo,Filho,11.0,1992-01-10,Meio-Campo,Fortaleza
1293,Rai,Oliveira,18.0,1999-07-16,Meio-Campo,Bahia
1294,Everton,Felipe,97.0,1997-07-28,Meio-Campo,Sport
1295,Marcio,Azevedo,6.0,1996-05-06,Meio-Campo,Athletico-Pr
1296,Marcao,,77.0,1991-01-14,Meio-Campo,Sport
1297,Rafael,Marques,15.0,1983-05-27,Zagueiro,Sport
1298,Rene,Junior,23.0,1997-06-07,Meio-Campo,Chapecoense
1299,Geuvanio,,50.0,1992-04-05,Atacante,Chapecoense
1300,Jose,Welison,14.0,1999-07-07,Meio-Campo,Sport
1301,Sabino,,35.0,1996-10-25,Zagueiro,Sport
1302,Mike,Nenatarvicius,17.0,1991-05-05,Meio-Campo,Chapecoense
1303,Moises,Santos,5.0,1993-11-07,Meio-Campo,Chapecoense
1304,Raniel,,12.0,1996-06-11,Atacante,Santos
1305,Kaiky,Fernandes,28.0,1992-08-26,Zagueiro,Santos
1306,Rodinei,Almeida,20.0,1998-07-18,Zagueiro,Flamengo
1307,Igor,Silva,17.0,1996-04-05,Zagueiro,Atletico-Go
1308,Leo,Pele,16.0,1999-07-24,Zagueiro,Sao Paulo
1309,Fernando,Canesin,55.0,1992-02-27,Meio-Campo,Athletico-Pr
1310,Matheus,Fernandes,38.0,1998-06-30,Meio-Campo,Palmeiras
1311,Rafinha,,13.0,1985-09-07,Zagueiro,Gremio
1312,Raul,Bobadilla,19.0,1993-06-21,Atacante,Fluminense
1313,Juninho,Capixaba,29.0,1997-07-06,Zagueiro,Bahia
1314,Rossicley,Silva,7.0,2000-04-17,Meio-Campo,Bahia
1315,Gilberto,Junior,9.0,1998-03-17,Atacante,Bahia
1316,Henrique,Almeida,11.0,1991-05-27,Atacante,Chapecoense
1317,Eder,,3.0,1986-11-15,Zagueiro,Atletico-Go
1318,Hernanes,,8.0,1993-11-02,Meio-Campo,Sport
1319,Rene,Martins,6.0,1999-09-26,Zagueiro,Flamengo
1320,Bruno,Viana,30.0,2000-03-05,Zagueiro,Flamengo
1321,Paulinho,Moccelin,94.0,1994-03-16,Atacante,Sport
1322,Clayson,Vieira,23.0,1999-09-30,Atacante,Cuiaba
1323,Emiliano,Rigoni,77.0,1997-01-10,Meio-Campo,Sao Paulo
1324,Miguel,Borja,9.0,1998-09-18,Atacante,Gremio
1325,Nathan,Souza,23.0,1997-12-31,Meio-Campo,Atletico-Mg
1326,Daniel,Simoes,8.0,1999-06-09,Meio-Campo,Bahia
1327,Gabriel,Veron,27.0,1991-02-08,Atacante,Palmeiras
1328,Gustavo,Vernes,2.0,1990-10-13,Zagueiro,Flamengo
1329,Ramon,Lima,36.0,1992-02-06,Zagueiro,Flamengo
1330,Busanello,,6.0,1998-10-20,Zagueiro,Chapecoense
1331,Ricardinho,,5.0,1985-12-15,Meio-Campo,Juventude
1332,Patrick,Lucca,45.0,2000-03-02,Meio-Campo,Bahia
1333,Jonas,Toro,23.0,1995-04-12,Atacante,Atletico-Go
1334,Marcos,Lopes,21.0,1997-05-31,Zagueiro,Santos
1335,Nathan,Silva,40.0,1997-05-06,Zagueiro,Atletico-Mg
1336,Diego,Costa,19.0,1999-07-21,Atacante,Atletico-Mg
1337,Gabriel,Franco,5.0,1990-08-11,Meio-Campo,Corinthians
1338,Gustavo,,10.0,2005-06-06,Atacante,Sport
1339,Mauro,Zarate,99.0,1999-07-12,Atacante,America-Mg
1340,Bruno,Cortes,12.0,1997-05-10,Zagueiro,Gremio
1341,Rodrigo,Marinho,10.0,1997-09-15,Meio-Campo,Bahia
1342,Vanderson,Campos,35.0,1994-03-30,Zagueiro,Gremio
1343,Nino,Paraiba,2.0,1986-01-10,Zagueiro,Bahia
1344,Kelvyn,,70.0,1999-05-07,Meio-Campo,Ceara
1345,Marcos,Guilherme,23.0,1995-08-05,Meio-Campo,Santos
1346,Marlon,Xavier,30.0,1999-11-23,Zagueiro,Fluminense
1347,Paulo,Victor,23.0,2001-04-13,Zagueiro,Internacional
1348,Marcio,Oliveira,5.0,1991-07-08,Meio-Campo,Athletico-Pr
1349,Aderbar,Neto,1.0,1996-10-24,Goleiro,Athletico-Pr
1350,Renan,Silva,3.0,1995-02-06,Zagueiro,Palmeiras
1351,Deyverson,,16.0,1991-05-08,Atacante,Palmeiras
1352,Marcos,Vinicios,77.0,1995-10-10,Meio-Campo,Juventude
1353,Jhonata,Silva,25.0,1998-08-27,Meio-Campo,Gremio
1354,Jaminton,Campaz,7.0,2000-05-24,Meio-Campo,Gremio
1355,Brenno,Costa,20.0,1993-06-06,Goleiro,Gremio
1356,Kenedy,,33.0,2001-06-11,Meio-Campo,Flamengo
1357,Lucas,Borges,16.0,1997-11-23,Meio-Campo,Gremio
1358,Jorginho,,16.0,1991-01-05,Meio-Campo,Ceara
1359,David,Fonseca,17.0,1996-06-11,Atacante,Fortaleza
1360,Anderson,Moraes,26.0,1994-05-31,Meio-Campo,Chapecoense
1361,Dawhan,,78.0,1993-06-13,Zagueiro,Juventude
1362,Edson,,35.0,1990-02-26,Meio-Campo,Bahia
1363,Juan,Velasquez,15.0,1993-08-28,Meio-Campo,Bahia
1364,Gabriel,Santos,38.0,1999-03-16,Atacante,Corinthians
1365,Vitor,Gabriel,63.0,2000-01-20,Atacante,Flamengo
1366,Guilherme,Castilho,99.0,1999-09-19,Meio-Campo,Juventude
1367,Lucca,Brito,7.0,1991-02-21,Atacante,Fluminense
1368,Vitor,Bueno,12.0,1994-09-05,Meio-Campo,Sao Paulo
1369,Patrick,Paula,5.0,1999-09-08,Meio-Campo,Palmeiras
1370,Fabinho,,19.0,2002-04-09,Meio-Campo,Ceara
1371,Gabriel,Oliveira,94.0,1999-01-17,Zagueiro,Ceara
1372,Anderson,Conceicao,14.0,1989-10-24,Zagueiro,Cuiaba
1373,Yuri,Lima,18.0,1999-05-29,Meio-Campo,Cuiaba
1374,Anderson,Jordan,55.0,1995-12-29,Zagueiro,Chapecoense
1375,Paulo,Junior,55.0,1993-09-26,Meio-Campo,America-Mg
1376,Julio,Santos,1.0,1993-08-24,Goleiro,Bragantino
1377,Carlos,Souza,96.0,1999-12-20,Atacante,Athletico-Pr
1378,Michel,Machado,88.0,1998-12-08,Zagueiro,Juventude
1379,Matheus,Ribeiro,2.0,1993-02-23,Zagueiro,Chapecoense
1380,Carlos,Eduardo,92.0,1989-10-17,Goleiro,Sport
1381,Jael,,9.0,1993-03-23,Atacante,Ceara
1382,Victor,Luis,26.0,1993-06-23,Zagueiro,Palmeiras
1383,Felipe,Melo,30.0,1983-08-26,Meio-Campo,Palmeiras
1384,Gabriel,Teixeira,39.0,2001-04-01,Meio-Campo,Fluminense
1385,Shaylon,,19.0,1997-04-28,Meio-Campo,Sao Paulo
1386,Rodrigo,Lindoso,19.0,1989-06-06,Meio-Campo,Internacional
1387,Valentin,Depietri,34.0,2000-10-31,Atacante,Fortaleza
1388,Bruno,Melo,30.0,1992-10-26,Meio-Campo,Fortaleza
1389,Onitlasi,Rodrigues,42.0,1994-01-14,Meio-Campo,Santos
1390,Andre,Luis,7.0,1997-04-21,Meio-Campo,Atletico-Go
1391,Lucas,Firmo,22.0,1996-12-13,Atacante,Atletico-Go
1392,Danilo,Boza,22.0,1998-05-06,Zagueiro,Santos
1393,Ruan,Tressoldi,44.0,1996-10-13,Zagueiro,Gremio
1394,Santiago,Trellez,9.0,1990-01-17,Atacante,Sport
1395,Rodrigo,Bertaglia,25.0,1996-10-10,Meio-Campo,Sao Paulo
1396,Wellington,Paulista,9.0,1983-04-22,Atacante,Fortaleza
1397,Gabriel,Sara,21.0,1998-07-14,Meio-Campo,Sao Paulo
1398,Martin,Benitez,8.0,1994-06-17,Meio-Campo,Sao Paulo
1399,Felipe,Alves,12.0,1988-05-21,Goleiro,Fortaleza
1400,Juan,Fletcher,3.0,1998-01-17,Zagueiro,Juventude
1401,Danilo,Oliveira,28.0,1993-12-29,Meio-Campo,Palmeiras
1402,Richard,Costa,91.0,1992-08-07,Goleiro,Ceara
1403,Renato,Kayzer,79.0,1999-03-07,Atacante,Athletico-Pr
1404,Alan,Silva,8.0,1991-04-07,Meio-Campo,Chapecoense
1405,Kaio,Nunes,96.0,1996-01-11,Meio-Campo,Chapecoense
1406,Rafael,Elias,19.0,1995-06-07,Atacante,Cuiaba
1407,Fabricio,Souza,13.0,1995-05-31,Atacante,America-Mg
1408,Jefferson,Savarino,17.0,1991-02-12,Meio-Campo,Atletico-Mg
1409,Bruno,Nazario,22.0,1995-02-09,Meio-Campo,America-Mg
1410,Bissoli,,17.0,1998-01-09,Atacante,Athletico-Pr
1411,Luciano,Juba,46.0,1999-08-29,Meio-Campo,Sport
1412,Patrick,,88.0,1992-07-29,Meio-Campo,Internacional
1413,Osman,,20.0,1992-10-29,Atacante,Cuiaba
1414,Danilo,Neves,37.0,1995-09-07,Meio-Campo,Atletico-Mg
1415,Anselmo,Ramon,9.0,1988-06-23,Atacante,Chapecoense
1416,Keiller,,1.0,1996-10-09,Goleiro,Chapecoense
1417,Ezequiel,,30.0,1993-02-22,Zagueiro,Chapecoense
1418,Weverson,,26.0,2000-07-05,Zagueiro,Bragantino
1419,Auremir,Santos,16.0,1997-08-14,Meio-Campo,Cuiaba
1420,Fernando,Kaufmann,1.0,1996-01-31,Goleiro,Atletico-Go
1421,Arnaldo,Almeida,2.0,1992-04-21,Zagueiro,Atletico-Go
1422,Ronald,Martins,11.0,1994-08-13,Meio-Campo,Atletico-Go
1423,Mikael,,99.0,1999-05-28,Atacante,Sport
1424,William,,5.0,1986-11-20,Meio-Campo,Ceara
1425,Jean,Pyerre,88.0,1998-05-07,Meio-Campo,Gremio
1426,Alisson,Castro,23.0,1990-09-21,Meio-Campo,Gremio
1427,Ederson,,13.0,2005-02-03,Meio-Campo,Fortaleza
1428,Fernando,Rivas,17.0,1993-03-31,Atacante,Juventude
1429,Claudio,Gomes,2.0,1994-08-10,Zagueiro,Atletico-Mg
1430,Diego,Alves,1.0,1985-06-24,Goleiro,Flamengo
1431,Vinicius,Balieiro,17.0,1999-05-28,Meio-Campo,Santos
1432,Sander,Bortolotto,56.0,1993-09-10,Zagueiro,Sport
1433,Ewerton,Silva,66.0,1993-05-06,Zagueiro,Sport
1434,Edimar,Fraga,6.0,1992-02-25,Zagueiro,Bragantino
1435,Ronaldo,,5.0,1991-04-10,Meio-Campo,Sport
1436,Lucas,Araujo,34.0,1999-05-21,Meio-Campo,Bahia
1437,Marinho,,11.0,1990-05-29,Atacante,Santos
1438,Paulo,Miranda,28.0,1988-08-16,Zagueiro,Gremio
1439,Luiz,Santos,33.0,1996-02-29,Atacante,Gremio
1440,Victor,Santos,11.0,1997-08-01,Atacante,Flamengo
1441,Igor,Oliveira,2.0,1990-10-22,Zagueiro,Ceara
1442,Jean,Souza,41.0,1996-04-27,Meio-Campo,Santos
1443,Ze,Gabriel,35.0,1999-01-21,Zagueiro,Internacional
1444,Carlos,Sanchez,7.0,1984-12-02,Meio-Campo,Santos
1445,Wagner,Leonardo,14.0,1999-07-23,Zagueiro,Santos
1446,Ze,Roberto,9.0,1993-09-14,Atacante,Atletico-Go
1447,Roberson,,19.0,1989-04-02,Atacante,Juventude
1448,Emiliano,Martinez,40.0,1991-03-29,Meio-Campo,Bragantino
1449,Pedrinho,,33.0,1998-04-13,Meio-Campo,Bragantino
1450,Jan,Hurtado,27.0,2000-03-05,Atacante,Bragantino
1451,Cristiano,Nogueira,38.0,1992-05-27,Meio-Campo,Bragantino
1452,Lucas,Fasson,37.0,1996-03-22,Zagueiro,Athletico-Pr
1453,Luis,Orejuela,20.0,1995-08-20,Zagueiro,Sao Paulo
1454,Ribamar,,7.0,1997-05-21,Atacante,America-Mg
1455,Danilo,Barcelos,14.0,1991-08-17,Zagueiro,Fluminense
1456,Everton,Silva,22.0,1988-08-04,Atacante,Gremio
1457,Rodriguinho,,35.0,1988-03-27,Atacante,Chapecoense
1458,Richard,Coelho,25.0,1992-08-24,Meio-Campo,Athletico-Pr
1459,Savinho,,33.0,1995-10-14,Atacante,Atletico-Mg
1460,Benjamin,Kuscevic,4.0,1996-05-02,Zagueiro,Palmeiras
1461,Ronaldo,Santos,57.0,1990-12-07,Atacante,Bahia
1462,Marquinhos,,47.0,1994-05-08,Atacante,Sao Paulo
1463,Antonio,Oliveira,26.0,1991-02-04,Zagueiro,Gremio
1464,Diego,Tardelli,99.0,1997-06-14,Atacante,Santos
